crime_type,station,district,province,District.1,Province.1,Province.2,LISTS OF STATIONS PER,,01,January,Population figures
,Table View,City of Cape Town District,Western Cape,,,,,,,,
,Woodstock,City of Cape Town District,Western Cape,,,,,,,,
,Wynberg,City of Cape Town District,Western Cape,,,,,,,,
,Int Airport C Town,East Metropol District,Western Cape,,,,,,,,
,Albertinia,Garden Route District,Western Cape,,,,,,,,
,Calitzdorp,Garden Route District,Western Cape,,,,,,,,
,Conville,Garden Route District,Western Cape,,,,,,,,
,Da Gamaskop,Garden Route District,Western Cape,,,,,,,,
,De Rust,Garden Route District,Western Cape,,,,,,,,
,Dysselsdorp,Garden Route District,Western Cape,,,,,,,,
,George,Garden Route District,Western Cape,,,,,,,,
,Groot Brakrivier,Garden Route District,Western Cape,,,,,,,,
,Heidelberg(C),Garden Route District,Western Cape,,,,,,,,
,Knysna,Garden Route District,Western Cape,,,,,,,,
,KwaNokuthula,Garden Route District,Western Cape,,,,,,,,
,KwaNonqaba,Garden Route District,Western Cape,,,,,,,,
,Ladismith,Garden Route District,Western Cape,,,,,,,,
,Mossel Bay,Garden Route District,Western Cape,,,,,,,,
,Oudtshoorn,Garden Route District,Western Cape,,,,,,,,
,Pacaltsdorp,Garden Route District,Western Cape,,,,,,,,
,Plettenberg Bay,Garden Route District,Western Cape,,,,,,,,
,Riversdale,Garden Route District,Western Cape,,,,,,,,
,Still Bay,Garden Route District,Western Cape,,,,,,,,
,Thembalethu,Garden Route District,Western Cape,,,,,,,,
,Uniondale,Garden Route District,Western Cape,,,,,,,,
,Barrydale,Overberg District,Western Cape,,,,,,,,
,Bredasdorp,Overberg District,Western Cape,,,,,,,,
,Caledon,Overberg District,Western Cape,,,,,,,,
,Gans Bay,Overberg District,Western Cape,,,,,,,,
,Genadendal,Overberg District,Western Cape,,,,,,,,
,Grabouw,Overberg District,Western Cape,,,,,,,,
,Hermanus,Overberg District,Western Cape,,,,,,,,
,Kleinmond,Overberg District,Western Cape,,,,,,,,
,Napier,Overberg District,Western Cape,,,,,,,,
,Riviersonderend,Overberg District,Western Cape,,,,,,,,
,Stanford,Overberg District,Western Cape,,,,,,,,
,Struisbaai,Overberg District,Western Cape,,,,,,,,
,Suurbraak,Overberg District,Western Cape,,,,,,,,
,Swellendam,Overberg District,Western Cape,,,,,,,,
,Villiersdorp,Overberg District,Western Cape,,,,,,,,
,Citrusdal,West Coast District,Western Cape,,,,,,,,
,Clanwilliam,West Coast District,Western Cape,,,,,,,,
,Darling,West Coast District,Western Cape,,,,,,,,
,Doring Bay,West Coast District,Western Cape,,,,,,,,
,Eendekuil,West Coast District,Western Cape,,,,,,,,
,Elands Bay,West Coast District,Western Cape,,,,,,,,
,Graafwater,West Coast District,Western Cape,,,,,,,,
,Hopefield,West Coast District,Western Cape,,,,,,,,
,Klawer,West Coast District,Western Cape,,,,,,,,
,Laaiplek,West Coast District,Western Cape,,,,,,,,
,Lambertsbaai,West Coast District,Western Cape,,,,,,,,
,Langebaan,West Coast District,Western Cape,,,,,,,,
,Lutzville,West Coast District,Western Cape,,,,,,,,
,Malmesbury,West Coast District,Western Cape,,,,,,,,
,Moorreesburg,West Coast District,Western Cape,,,,,,,,
,Nuwerus,West Coast District,Western Cape,,,,,,,,
,Piketberg,West Coast District,Western Cape,,,,,,,,
,Porterville,West Coast District,Western Cape,,,,,,,,
,Redelinghuys,West Coast District,Western Cape,,,,,,,,
,Riebeek West,West Coast District,Western Cape,,,,,,,,
,Saldanha,West Coast District,Western Cape,,,,,,,,
,St Helena Bay,West Coast District,Western Cape,,,,,,,,
,Vanrhynsdorp,West Coast District,Western Cape,,,,,,,,
,Vredenburg,West Coast District,Western Cape,,,,,,,,
,Vredendal,West Coast District,Western Cape,,,,,,,,
,Alfred Nzo District,Eastern Cape,Republic of South Africa,,,,,,,,
,Amathole District,Eastern Cape,Republic of South Africa,,,,,,,,
,Buffalo City District,Eastern Cape,Republic of South Africa,,,,,,,,
,Chris Hani District,Eastern Cape,Republic of South Africa,,,,,,,,
,Joe Gqabi District,Eastern Cape,Republic of South Africa,,,,,,,,
,Nelson Mandela District,Eastern Cape,Republic of South Africa,,,,,,,,
,OR Tambo District,Eastern Cape,Republic of South Africa,,,,,,,,
,Sarah Baartman District,Eastern Cape,Republic of South Africa,,,,,,,,
,Fezile Dabi District,Free State,Republic of South Africa,,,,,,,,
,Lejweleputswa District,Free State,Republic of South Africa,,,,,,,,
,Mangaung District,Free State,Republic of South Africa,,,,,,,,
,Thabo Mofutsanyana District,Free State,Republic of South Africa,,,,,,,,
,Xhariep District,Free State,Republic of South Africa,,,,,,,,
,Ekurhuleni District,Gauteng,Republic of South Africa,,,,,,,,
,Gauteng: Ports of Entry: Air,Gauteng,Republic of South Africa,,,,,,,,
,Johannesburg District,Gauteng,Republic of South Africa,,,,,,,,
,Sedibeng District,Gauteng,Republic of South Africa,,,,,,,,
,Tshwane District,Gauteng,Republic of South Africa,,,,,,,,
,West Rand District,Gauteng,Republic of South Africa,,,,,,,,
,Amajuba District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Ethekwini District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Harry Gwala District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Ilembe District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,King Cetshwayo District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Kwazulu-Natal: Ports of Entry: Air,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Kwazulu-Natal: Ports of Entry: Sea,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Ugu District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Umgungundlovu District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Umkhanyakude District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Umzinyathi District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Uthukela District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Zululand District,KwaZulu-Natal,Republic of South Africa,,,,,,,,
,Capricorn District,Limpopo,Republic of South Africa,,,,,,,,
,Mopani District,Limpopo,Republic of South Africa,,,,,,,,
,Sekhukhune District,Limpopo,Republic of South Africa,,,,,,,,
,Vhembe District,Limpopo,Republic of South Africa,,,,,,,,
,Waterberg District,Limpopo,Republic of South Africa,,,,,,,,
,Ehlanzeni District,Mpumalanga,Republic of South Africa,,,,,,,,
,Gert Sibande District,Mpumalanga,Republic of South Africa,,,,,,,,
,Nkangala District,Mpumalanga,Republic of South Africa,,,,,,,,
,Bojanala District,North West,Republic of South Africa,,,,,,,,
,Dr Kenneth Kaunda District,North West,Republic of South Africa,,,,,,,,
,Dr Ruth Segomotsi Mompati District,North West,Republic of South Africa,,,,,,,,
,Ngaka Modiri Molema District,North West,Republic of South Africa,,,,,,,,
,Frances Baard District,Northern Cape,Republic of South Africa,,,,,,,,
,John Taolo Gaetsewe District,Northern Cape,Republic of South Africa,,,,,,,,
,Namakwa District,Northern Cape,Republic of South Africa,,,,,,,,
,Pixley ka Seme District,Northern Cape,Republic of South Africa,,,,,,,,
,ZF Mgcawu District,Northern Cape,Republic of South Africa,,,,,,,,
,Cape Winelands District,Western Cape,Republic of South Africa,,,,,,,,
,Central Karoo District,Western Cape,Republic of South Africa,,,,,,,,
,City of Cape Town District,Western Cape,Republic of South Africa,,,,,,,,
,East Metropol District,Western Cape,Republic of South Africa,,,,,,,,
,Garden Route District,Western Cape,Republic of South Africa,,,,,,,,
,Overberg District,Western Cape,Republic of South Africa,,,,,,,,
,West Coast District,Western Cape,Republic of South Africa,,,,,,,,
,Eastern Cape,Republic of South Africa,RSA,,,,,,,,
,Free State,Republic of South Africa,RSA,,,,,,,,
,Gauteng,Republic of South Africa,RSA,,,,,,,,
,KwaZulu-Natal,Republic of South Africa,RSA,,,,,,,,
,Limpopo,Republic of South Africa,RSA,,,,,,,,
,Mpumalanga,Republic of South Africa,RSA,,,,,,,,
,North West,Republic of South Africa,RSA,,,,,,,,
,Northern Cape,Republic of South Africa,RSA,,,,,,,,
,Western Cape,Republic of South Africa,RSA,,,,,,,,
,Republic Of South Africa,RSA,National,,,,,,,,
